ticket_id,source_type,store,region,dept,event_date,logged_date,category,access_level,text
T0014,warehouse_ticket,7,North,99,2011-03-05,2011-03-05,new_product,standard,"Department 99 stock allocation at Store 7 limited to single test batch. No recurring replenishment scheduled - single-week presence by design, not a stockout."
T0015,field_report,7,North,99,2011-03-06,2011-03-07,launch,standard,Test-batch department 99 discontinued after single-week pilot at Store 7. Regional buyer decided not to expand pending review of category performance.
T0050,crm_note,11,North,,2011-03-15,2011-03-15,staffing_normal,standard,"Store 11 staffing levels reported at full complement this week, no vacancies logged."
T0048,warehouse_ticket,7,North,,2011-03-25,2011-03-25,routine_promo,standard,"Scheduled markdown promotion at Store 7 launched on time, in-stock levels sufficient for expected demand."
T0072,field_report,5,North,,2011-03-30,2011-03-30,maintenance,standard,"Routine facilities maintenance completed at Store 5 - HVAC servicing, no disruption to operating hours."
T0059,warehouse_ticket,21,South,,2011-04-15,2011-04-15,routine_promo,standard,"Scheduled markdown promotion at Store 21 launched on time, in-stock levels sufficient for expected demand."
T0017,crm_note,17,South,,2011-04-27,2011-04-27,vague,standard,Some customer feedback mentioned pricing seemed 'off' this week. Unclear if referring to specific items or general sentiment. No specific SKU identified.
T0018,field_report,17,South,,2011-04-28,2011-04-28,vague,standard,"Weather was unusually warm this period, foot traffic subjectively felt lighter per floor staff, though no formal count taken. Possible seasonal factor, unconfirmed."
T0019,warehouse_ticket,17,South,,2011-04-29,2011-04-29,contradicted,standard,"Inventory audit shows full stock levels maintained throughout the period at Store 17 - no supply-side issues identified, contradicts informal staff reports of shortages."
T0020,crm_note,17,South,,2011-04-30,2011-05-01,vague,standard,"Regional call center logged slightly elevated call volume from Store 17 area this week, reason for calls not consistently tagged, mix of pricing and general inquiries."
T0071,field_report,44,West,,2011-05-07,2011-05-07,competitor_neutral,standard,No new competitor activity observed in Store 44 trade area this period.
T0079,warehouse_ticket,11,North,,2011-06-08,2011-06-08,routine_restock,standard,Routine weekly restock completed on schedule at Store 11. No delays or shortages reported.
T0055,field_report,11,North,,2011-06-17,2011-06-17,maintenance,standard,"Routine facilities maintenance completed at Store 11 - HVAC servicing, no disruption to operating hours."
T0073,crm_note,39,West,,2011-06-23,2011-06-23,loyalty_program,standard,Loyalty program enrollment at Store 39 tracking in line with regional average this period.
T0068,field_report,33,East,,2011-07-19,2011-07-19,routine_note,standard,"Standard store walkthrough at Store 33 this week - no issues flagged, operations normal."
T0024,crm_note,22,South,,2011-08-15,2011-08-15,legal_sensitive,restricted,"CONFIDENTIAL - Vendor contract dispute affecting Store 22 supply terms, under legal review. Financial terms restricted to Finance/Legal roles only."
T0001,warehouse_ticket,18,South,,2011-08-26,2011-08-26,stockout,standard,Restock for top-selling home goods line delayed due to regional carrier disruption tied to severe weather (Hurricane Irene) moving up the East Coast. Shelves at Store 18 reported empty since 08/25. Expedite requested.
T0006,field_report,27,East,,2011-08-26,2011-08-26,marketing,standard,Regional marketing paused radio and local flyer spend for Store 27 starting 08/22 to reallocate budget to a nearby store launch. Store 27 markdown items now running with reduced promotional visibility.
T0007,warehouse_ticket,27,East,,2011-08-28,2011-08-28,inventory,standard,"MarkDown items received on schedule at Store 27 this period - no stockout on record. Inventory levels normal, unaffected by regional weather disruption reported at other East region stores."
T0002,field_report,18,South,,2011-08-29,2011-08-30,operations,standard,"Store manager flagged sharp drop in foot traffic this week - severe weather warnings kept customers home for several days. Combined with empty shelves on key promo items, walkaways noted daily."
T0008,crm_note,27,East,,2011-08-30,2011-08-31,staffing,standard,"Store 27 reported two open cashier positions unfilled for third consecutive week. Manager noted longer checkout lines during peak hours, possible impact on conversion."
T0003,crm_note,18,South,,2011-08-31,2011-08-31,customer_complaint,standard,"Customer called regarding advertised markdown promotion - item unavailable in-store, cited both weather-related delivery delay and prior stockout. Requested rain check, none available."
T0004,warehouse_ticket,18,South,,2011-09-01,2011-09-01,supply_chain,standard,Distribution center confirms delayed shipment root cause: regional carrier network disrupted by tropical storm system late August. Multiple stores in South region affected same week.
T0009,field_report,27,East,,2011-09-01,2011-09-01,competitor,standard,"Field rep noted a competing discount retailer opened a temporary pop-up location near Store 27 in late August, running aggressive intro pricing on overlapping categories."
T0042,field_report,30,East,,2011-09-01,2011-09-01,routine_note,standard,"Standard store walkthrough at Store 30 this week - no issues flagged, operations normal."
T0010,crm_note,27,East,,2011-09-02,2011-09-02,customer_feedback,standard,Handful of customer surveys this week mention 'didn't know about the sale' when asked how they heard about markdown pricing. Consistent with reduced marketing visibility.
T0021,crm_note,41,West,,2011-09-02,2011-09-02,employee_relations,restricted,CONFIDENTIAL - HR case opened regarding management conduct complaint at Store 41. Under active investigation. Do not distribute outside HR/Legal access group.
T0011,warehouse_ticket,27,East,,2011-09-03,2011-09-03,staffing,standard,"HR ticket confirms cashier vacancies at Store 27 open since early August, req posted but unfilled. Regional hiring freeze cited as contributing factor."
T0022,field_report,41,West,,2011-09-03,2011-09-03,employee_relations,restricted,"CONFIDENTIAL - Staff turnover at Store 41 elevated this quarter, linked to open HR investigation. Details restricted pending resolution, may correlate with service-level dip."
T0023,warehouse_ticket,41,West,,2011-09-04,2011-09-04,operations,standard,"Store 41 requested temporary supervisor coverage from neighboring Store 39 this week due to staffing gap. Standard operational reassignment, no further detail logged."
T0005,field_report,18,South,,2011-09-05,2011-09-08,resolution,standard,Weather cleared and restock arrived 09/03. Foot traffic and shelf presence both recovering. Store manager expects most of the dip to reverse by next reporting period.
T0074,warehouse_ticket,17,South,,2011-09-18,2011-09-18,routine_restock,standard,Routine weekly restock completed on schedule at Store 17. No delays or shortages reported.
T0045,field_report,24,East,,2011-10-13,2011-10-13,weather,standard,"Mild weather conditions at Store 24 this week, no impact on foot traffic observed."
T0066,field_report,28,East,,2011-10-19,2011-10-19,maintenance,standard,"Routine facilities maintenance completed at Store 28 - HVAC servicing, no disruption to operating hours."
T0029,field_report,6,North,,2011-10-26,2011-10-26,maintenance,standard,"Routine facilities maintenance completed at Store 6 - HVAC servicing, no disruption to operating hours."
T0070,crm_note,10,North,,2011-12-03,2011-12-03,customer_feedback_neutral,standard,"Customer satisfaction survey responses for Store 10 this week within normal range, no notable complaints."
T0049,crm_note,30,East,,2011-12-11,2011-12-11,staffing_normal,standard,"Store 30 staffing levels reported at full complement this week, no vacancies logged."
T0053,crm_note,39,West,,2011-12-11,2011-12-11,customer_feedback_neutral,standard,"Customer satisfaction survey responses for Store 39 this week within normal range, no notable complaints."
T0056,crm_note,18,South,,2011-12-16,2011-12-16,loyalty_program,standard,Loyalty program enrollment at Store 18 tracking in line with regional average this period.
T0051,warehouse_ticket,14,South,,2012-01-16,2012-01-16,routine_promo,standard,"Scheduled markdown promotion at Store 14 launched on time, in-stock levels sufficient for expected demand."
T0052,field_report,45,West,,2012-01-29,2012-01-29,routine_note,standard,"Standard store walkthrough at Store 45 this week - no issues flagged, operations normal."
T0057,crm_note,15,South,,2012-01-31,2012-01-31,staffing_normal,standard,"Store 15 staffing levels reported at full complement this week, no vacancies logged."
T0036,field_report,11,North,,2012-02-13,2012-02-13,maintenance,standard,"Routine facilities maintenance completed at Store 11 - HVAC servicing, no disruption to operating hours."
T0033,crm_note,13,South,,2012-03-03,2012-03-03,loyalty_program,standard,Loyalty program enrollment at Store 13 tracking in line with regional average this period.
T0075,field_report,44,West,,2012-03-08,2012-03-08,routine_note,standard,"Standard store walkthrough at Store 44 this week - no issues flagged, operations normal."
T0054,field_report,35,West,,2012-03-16,2012-03-16,weather,standard,"Mild weather conditions at Store 35 this week, no impact on foot traffic observed."
T0027,field_report,9,North,,2012-03-24,2012-03-24,routine_note,standard,"Standard store walkthrough at Store 9 this week - no issues flagged, operations normal."
T0028,crm_note,44,West,,2012-03-28,2012-03-28,loyalty_program,standard,Loyalty program enrollment at Store 44 tracking in line with regional average this period.
T0064,crm_note,16,South,,2012-04-01,2012-04-01,loyalty_program,standard,Loyalty program enrollment at Store 16 tracking in line with regional average this period.
T0038,crm_note,14,South,,2012-04-20,2012-04-20,staffing_normal,standard,"Store 14 staffing levels reported at full complement this week, no vacancies logged."
T0077,crm_note,18,South,,2012-04-26,2012-04-26,staffing_normal,standard,"Store 18 staffing levels reported at full complement this week, no vacancies logged."
T0044,field_report,19,South,,2012-06-27,2012-06-27,competitor_neutral,standard,No new competitor activity observed in Store 19 trade area this period.
T0069,field_report,4,North,,2012-07-29,2012-07-29,routine_note,standard,"Standard store walkthrough at Store 4 this week - no issues flagged, operations normal."
T0062,warehouse_ticket,26,East,,2012-08-22,2012-08-22,routine_delivery,standard,"Scheduled delivery to Store 26 received in full, no discrepancies noted against manifest."
T0076,crm_note,44,West,,2012-08-23,2012-08-23,loyalty_program,standard,Loyalty program enrollment at Store 44 tracking in line with regional average this period.
